[INFO] 2026-03-19 21:06:53,893 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 21:07:38,362 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:07:41,766 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 21:07:41,780 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 52
[INFO] 2026-03-19 21:07:58,912 django.server "POST /api/admin/customer/ HTTP/1.1" 201 260
[INFO] 2026-03-19 21:07:58,945 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 312
[INFO] 2026-03-19 21:08:23,709 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 312
[INFO] 2026-03-19 21:08:23,729 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 312
[INFO] 2026-03-19 21:09:52,686 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:09:56,099 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 312
[INFO] 2026-03-19 21:09:56,127 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 312
[INFO] 2026-03-19 21:10:31,349 django.server "POST /api/admin/customer/ HTTP/1.1" 201 262
[INFO] 2026-03-19 21:10:31,434 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 575
[INFO] 2026-03-19 21:10:45,943 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[INFO] 2026-03-19 21:10:45,947 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[INFO] 2026-03-19 21:10:45,973 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:10:45,995 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:10:48,289 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 575
[INFO] 2026-03-19 21:10:48,311 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 575
[INFO] 2026-03-19 21:11:16,969 django.server "POST /api/admin/customer/ HTTP/1.1" 201 260
[INFO] 2026-03-19 21:11:16,997 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:11:32,464 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:11:32,489 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:11:34,264 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:11:34,284 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:11:42,232 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:11:42,253 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:12:16,428 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:12:16,450 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:14:24,206 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:14:24,224 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:17:13,715 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:17:15,952 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:17:16,012 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:17:57,639 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:17:57,661 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:18:07,044 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:18:10,201 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:18:10,239 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 200 645
[INFO] 2026-03-19 21:18:12,025 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:18:12,071 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:19:05,873 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:19:05,921 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:22:33,610 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:22:35,968 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:22:36,019 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:23:09,102 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:23:09,123 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:23:13,891 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 21:23:15,958 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:23:16,029 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:24:43,573 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
[INFO] 2026-03-19 21:24:43,596 django.server "GET /api/admin/customer/?page=1&search= HTTP/1.1" 200 836
